instant_hourly,date,season,year,mnth_hourly,hour,holiday_hourly,weekday_hourly,workingday_hourly,weather_condition,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,casual_hourly,registered_hourly,total_count,instant_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily,time_category
4083,2011-06-24,Fall,2011,6,0,0,5,Working Day,Clear/Partly Cloudy,0.68,0.6364,0.79,0.194,10,53,63,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4084,2011-06-24,Fall,2011,6,1,0,5,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.3284,8,20,28,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4085,2011-06-24,Fall,2011,6,2,0,5,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.3284,4,10,14,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4086,2011-06-24,Fall,2011,6,3,0,5,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.1642,1,4,5,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4087,2011-06-24,Fall,2011,6,4,0,5,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.0896,1,8,9,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4088,2011-06-24,Fall,2011,6,5,0,5,Working Day,Clear/Partly Cloudy,0.64,0.5758,0.89,0.0896,2,18,20,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Morning
4089,2011-06-24,Fall,2011,6,6,0,5,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.1343,4,87,91,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Morning
4090,2011-06-24,Fall,2011,6,7,0,5,Working Day,Misty/Cloudy,0.66,0.6061,0.83,0.2239,21,247,268,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Morning
4091,2011-06-24,Fall,2011,6,8,0,5,Working Day,Clear/Partly Cloudy,0.7,0.6667,0.74,0.2239,27,439,466,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Morning
4092,2011-06-24,Fall,2011,6,9,0,5,Working Day,Clear/Partly Cloudy,0.74,0.6818,0.62,0.1343,28,203,231,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Morning
4093,2011-06-24,Fall,2011,6,10,0,5,Working Day,Clear/Partly Cloudy,0.8,0.7273,0.43,0.2836,43,102,145,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Morning
4094,2011-06-24,Fall,2011,6,11,0,5,Working Day,Clear/Partly Cloudy,0.8,0.7121,0.38,0.3284,56,147,203,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Morning
4095,2011-06-24,Fall,2011,6,12,0,5,Working Day,Clear/Partly Cloudy,0.8,0.7121,0.41,0.2836,51,150,201,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Afternoon
4096,2011-06-24,Fall,2011,6,13,0,5,Working Day,Clear/Partly Cloudy,0.8,0.7121,0.36,0.2239,43,178,221,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Afternoon
4097,2011-06-24,Fall,2011,6,14,0,5,Working Day,Clear/Partly Cloudy,0.78,0.697,0.43,0.2836,67,162,229,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Afternoon
4098,2011-06-24,Fall,2011,6,15,0,5,Working Day,Clear/Partly Cloudy,0.82,0.7273,0.34,0.3881,69,147,216,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Afternoon
4099,2011-06-24,Fall,2011,6,16,0,5,Working Day,Clear/Partly Cloudy,0.8,0.697,0.33,0.4179,80,247,327,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Afternoon
4100,2011-06-24,Fall,2011,6,17,0,5,Working Day,Clear/Partly Cloudy,0.76,0.6667,0.37,0.2537,85,472,557,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Evening
4101,2011-06-24,Fall,2011,6,18,0,5,Working Day,Clear/Partly Cloudy,0.76,0.6667,0.37,0.2985,87,365,452,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Evening
4102,2011-06-24,Fall,2011,6,19,0,5,Working Day,Clear/Partly Cloudy,0.74,0.6515,0.4,0.2239,92,293,385,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Evening
4103,2011-06-24,Fall,2011,6,20,0,5,Working Day,Clear/Partly Cloudy,0.72,0.6515,0.45,0.1642,66,222,288,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Evening
4104,2011-06-24,Fall,2011,6,21,0,5,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.48,0.1343,50,183,233,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4105,2011-06-24,Fall,2011,6,22,0,5,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.48,0.0,41,126,167,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4106,2011-06-24,Fall,2011,6,23,0,5,Working Day,Clear/Partly Cloudy,0.68,0.6364,0.51,0.1343,33,139,172,175,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Night
4107,2011-06-25,Fall,2011,6,0,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.68,0.6364,0.47,0.1642,19,97,116,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4108,2011-06-25,Fall,2011,6,1,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.66,0.6212,0.5,0.1642,20,75,95,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4109,2011-06-25,Fall,2011,6,2,0,6,Holiday/Weekend,Misty/Cloudy,0.66,0.6212,0.5,0.194,8,51,59,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4110,2011-06-25,Fall,2011,6,3,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.64,0.6212,0.57,0.194,18,21,39,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4111,2011-06-25,Fall,2011,6,4,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.64,0.6212,0.57,0.194,7,4,11,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4112,2011-06-25,Fall,2011,6,5,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.62,0.6061,0.61,0.1343,6,8,14,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Morning
4113,2011-06-25,Fall,2011,6,6,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.64,0.6212,0.57,0.2239,12,17,29,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Morning
4114,2011-06-25,Fall,2011,6,7,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.64,0.6212,0.57,0.2836,7,35,42,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Morning
4115,2011-06-25,Fall,2011,6,8,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.7,0.6515,0.48,0.2537,27,85,112,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Morning
4116,2011-06-25,Fall,2011,6,9,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.72,0.6515,0.45,0.2537,47,139,186,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Morning
4117,2011-06-25,Fall,2011,6,10,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.72,0.6515,0.45,0.194,99,203,302,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Morning
4118,2011-06-25,Fall,2011,6,11,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6667,0.42,0.0,122,209,331,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Morning
4119,2011-06-25,Fall,2011,6,12,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6515,0.4,0.2836,140,252,392,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Afternoon
4120,2011-06-25,Fall,2011,6,13,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6515,0.4,0.2836,140,231,371,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Afternoon
4121,2011-06-25,Fall,2011,6,14,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6667,0.45,0.2985,151,232,383,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Afternoon
4122,2011-06-25,Fall,2011,6,15,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6667,0.45,0.0,157,235,392,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Afternoon
4123,2011-06-25,Fall,2011,6,16,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.76,0.6818,0.43,0.2985,175,235,410,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Afternoon
4124,2011-06-25,Fall,2011,6,17,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6667,0.42,0.2239,152,247,399,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Evening
4125,2011-06-25,Fall,2011,6,18,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.72,0.6515,0.45,0.2537,108,199,307,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Evening
4126,2011-06-25,Fall,2011,6,19,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.72,0.6667,0.48,0.2836,121,254,375,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Evening
4127,2011-06-25,Fall,2011,6,20,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.7,0.6515,0.48,0.194,74,195,269,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Evening
4128,2011-06-25,Fall,2011,6,21,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.68,0.6364,0.51,0.1642,62,140,202,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4129,2011-06-25,Fall,2011,6,22,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.68,0.6364,0.47,0.194,61,126,187,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4130,2011-06-25,Fall,2011,6,23,0,6,Holiday/Weekend,Misty/Cloudy,0.66,0.6212,0.5,0.2985,49,130,179,176,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Night
4131,2011-06-26,Fall,2011,6,0,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.64,0.6212,0.53,0.0,30,85,115,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4132,2011-06-26,Fall,2011,6,1,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.64,0.6212,0.53,0.1045,17,73,90,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4133,2011-06-26,Fall,2011,6,2,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.62,0.6212,0.57,0.1045,17,70,87,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4134,2011-06-26,Fall,2011,6,3,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.6,0.6061,0.64,0.1045,12,22,34,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4135,2011-06-26,Fall,2011,6,4,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.6,0.6061,0.64,0.0896,3,8,11,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4136,2011-06-26,Fall,2011,6,5,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.6,0.6061,0.64,0.0,3,9,12,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Morning
4137,2011-06-26,Fall,2011,6,6,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.6,0.6061,0.64,0.0,7,13,20,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Morning
4138,2011-06-26,Fall,2011,6,7,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.62,0.6061,0.61,0.0,24,27,51,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Morning
4139,2011-06-26,Fall,2011,6,8,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.64,0.6212,0.61,0.194,29,78,107,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Morning
4140,2011-06-26,Fall,2011,6,9,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.66,0.6212,0.54,0.0896,75,131,206,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Morning
4141,2011-06-26,Fall,2011,6,10,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.72,0.6667,0.48,0.1045,136,196,332,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Morning
4142,2011-06-26,Fall,2011,6,11,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.72,0.6515,0.45,0.1343,127,219,346,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Morning
4143,2011-06-26,Fall,2011,6,12,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6515,0.4,0.1642,175,268,443,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Afternoon
4144,2011-06-26,Fall,2011,6,13,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6515,0.4,0.0,197,245,442,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Afternoon
4145,2011-06-26,Fall,2011,6,14,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6515,0.4,0.1343,197,246,443,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Afternoon
4146,2011-06-26,Fall,2011,6,15,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6515,0.4,0.0,174,229,403,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Afternoon
4147,2011-06-26,Fall,2011,6,16,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.74,0.6667,0.42,0.194,177,278,455,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Afternoon
4148,2011-06-26,Fall,2011,6,17,0,0,Holiday/Weekend,Misty/Cloudy,0.72,0.6515,0.42,0.1642,178,243,421,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Evening
4149,2011-06-26,Fall,2011,6,18,0,0,Holiday/Weekend,Misty/Cloudy,0.72,0.6515,0.45,0.2537,117,265,382,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Evening
4150,2011-06-26,Fall,2011,6,19,0,0,Holiday/Weekend,Misty/Cloudy,0.72,0.6667,0.48,0.1343,89,228,317,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Evening
4151,2011-06-26,Fall,2011,6,20,0,0,Holiday/Weekend,Misty/Cloudy,0.7,0.6515,0.48,0.1045,55,158,213,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Evening
4152,2011-06-26,Fall,2011,6,21,0,0,Holiday/Weekend,Misty/Cloudy,0.7,0.6515,0.54,0.1045,48,135,183,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4153,2011-06-26,Fall,2011,6,22,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.7,0.6515,0.51,0.0,19,95,114,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4154,2011-06-26,Fall,2011,6,23,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.7,0.6515,0.54,0.0896,14,64,78,177,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Night
4155,2011-06-27,Fall,2011,6,0,0,1,Working Day,Light Snow/Rain,0.64,0.6061,0.73,0.2836,7,25,32,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4156,2011-06-27,Fall,2011,6,1,0,1,Working Day,Misty/Cloudy,0.62,0.5909,0.78,0.1343,4,11,15,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4157,2011-06-27,Fall,2011,6,2,0,1,Working Day,Light Snow/Rain,0.62,0.5909,0.78,0.1343,3,3,6,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4158,2011-06-27,Fall,2011,6,3,0,1,Working Day,Light Snow/Rain,0.62,0.5909,0.78,0.1343,0,2,2,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4159,2011-06-27,Fall,2011,6,4,0,1,Working Day,Misty/Cloudy,0.6,0.5606,0.83,0.1642,1,8,9,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4160,2011-06-27,Fall,2011,6,5,0,1,Working Day,Misty/Cloudy,0.62,0.5758,0.83,0.1642,1,21,22,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Morning
4161,2011-06-27,Fall,2011,6,6,0,1,Working Day,Misty/Cloudy,0.62,0.5909,0.78,0.1642,4,90,94,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Morning
4162,2011-06-27,Fall,2011,6,7,0,1,Working Day,Misty/Cloudy,0.64,0.6061,0.73,0.2239,14,247,261,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Morning
4163,2011-06-27,Fall,2011,6,8,0,1,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.74,0.194,29,418,447,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Morning
4164,2011-06-27,Fall,2011,6,9,0,1,Working Day,Misty/Cloudy,0.72,0.6667,0.54,0.0,37,150,187,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Morning
4165,2011-06-27,Fall,2011,6,10,0,1,Working Day,Misty/Cloudy,0.72,0.6667,0.54,0.1343,55,95,150,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Morning
4166,2011-06-27,Fall,2011,6,11,0,1,Working Day,Misty/Cloudy,0.7,0.6515,0.58,0.0,55,95,150,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Morning
4167,2011-06-27,Fall,2011,6,12,0,1,Working Day,Misty/Cloudy,0.72,0.6667,0.54,0.0,40,130,170,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Afternoon
4168,2011-06-27,Fall,2011,6,13,0,1,Working Day,Misty/Cloudy,0.72,0.6667,0.58,0.2239,37,127,164,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Afternoon
4169,2011-06-27,Fall,2011,6,14,0,1,Working Day,Misty/Cloudy,0.72,0.6667,0.58,0.0896,58,100,158,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Afternoon
4170,2011-06-27,Fall,2011,6,15,0,1,Working Day,Misty/Cloudy,0.74,0.6818,0.55,0.0,76,126,202,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Afternoon
4171,2011-06-27,Fall,2011,6,16,0,1,Working Day,Clear/Partly Cloudy,0.74,0.6818,0.55,0.1045,53,222,275,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Afternoon
4172,2011-06-27,Fall,2011,6,17,0,1,Working Day,Clear/Partly Cloudy,0.74,0.6818,0.55,0.1343,90,514,604,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Evening
4173,2011-06-27,Fall,2011,6,18,0,1,Working Day,Clear/Partly Cloudy,0.74,0.6667,0.51,0.0,79,512,591,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Evening
4174,2011-06-27,Fall,2011,6,19,0,1,Working Day,Clear/Partly Cloudy,0.72,0.6818,0.62,0.194,56,340,396,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Evening
4175,2011-06-27,Fall,2011,6,20,0,1,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.65,0.1045,54,251,305,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Evening
4176,2011-06-27,Fall,2011,6,21,0,1,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.65,0.0,52,190,242,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4177,2011-06-27,Fall,2011,6,22,0,1,Working Day,Clear/Partly Cloudy,0.68,0.6364,0.69,0.0,33,112,145,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4178,2011-06-27,Fall,2011,6,23,0,1,Working Day,Clear/Partly Cloudy,0.68,0.6364,0.69,0.0,16,65,81,178,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Night
4179,2011-06-28,Fall,2011,6,0,0,2,Working Day,Misty/Cloudy,0.66,0.6061,0.78,0.1343,5,25,30,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4180,2011-06-28,Fall,2011,6,1,0,2,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.74,0.0,5,8,13,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4181,2011-06-28,Fall,2011,6,2,0,2,Working Day,Misty/Cloudy,0.66,0.6212,0.74,0.0,2,9,11,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4182,2011-06-28,Fall,2011,6,3,0,2,Working Day,Misty/Cloudy,0.66,0.6212,0.74,0.0,0,2,2,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4183,2011-06-28,Fall,2011,6,4,0,2,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.74,0.0,1,7,8,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4184,2011-06-28,Fall,2011,6,5,0,2,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.78,0.0,1,20,21,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Morning
4185,2011-06-28,Fall,2011,6,6,0,2,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.1642,7,117,124,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Morning
4186,2011-06-28,Fall,2011,6,7,0,2,Working Day,Clear/Partly Cloudy,0.68,0.6364,0.83,0.194,27,320,347,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Morning
4187,2011-06-28,Fall,2011,6,8,0,2,Working Day,Clear/Partly Cloudy,0.7,0.6667,0.79,0.1642,39,417,456,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Morning
4188,2011-06-28,Fall,2011,6,9,0,2,Working Day,Clear/Partly Cloudy,0.74,0.697,0.7,0.0,38,208,246,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Morning
4189,2011-06-28,Fall,2011,6,10,0,2,Working Day,Clear/Partly Cloudy,0.8,0.7424,0.49,0.1642,45,112,157,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Morning
4190,2011-06-28,Fall,2011,6,11,0,2,Working Day,Clear/Partly Cloudy,0.82,0.7576,0.46,0.0,49,118,167,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Morning
4191,2011-06-28,Fall,2011,6,12,0,2,Working Day,Clear/Partly Cloudy,0.84,0.7727,0.47,0.2239,41,161,202,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Afternoon
4192,2011-06-28,Fall,2011,6,13,0,2,Working Day,Clear/Partly Cloudy,0.84,0.7576,0.44,0.0,33,156,189,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Afternoon
4193,2011-06-28,Fall,2011,6,14,0,2,Working Day,Clear/Partly Cloudy,0.86,0.7879,0.44,0.2239,43,117,160,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Afternoon
4194,2011-06-28,Fall,2011,6,15,0,2,Working Day,Clear/Partly Cloudy,0.86,0.7879,0.41,0.0,39,127,166,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Afternoon
4195,2011-06-28,Fall,2011,6,16,0,2,Working Day,Clear/Partly Cloudy,0.86,0.803,0.47,0.2836,41,220,261,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Afternoon
4196,2011-06-28,Fall,2011,6,17,0,2,Working Day,Light Snow/Rain,0.82,0.7879,0.56,0.2836,70,509,579,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Evening
4197,2011-06-28,Fall,2011,6,18,0,2,Working Day,Light Snow/Rain,0.8,0.7576,0.55,0.2985,68,436,504,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Evening
4198,2011-06-28,Fall,2011,6,19,0,2,Working Day,Misty/Cloudy,0.74,0.6818,0.58,0.4627,44,255,299,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Evening
4199,2011-06-28,Fall,2011,6,20,0,2,Working Day,Clear/Partly Cloudy,0.74,0.6818,0.62,0.0,50,246,296,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Evening
4200,2011-06-28,Fall,2011,6,21,0,2,Working Day,Clear/Partly Cloudy,0.74,0.697,0.66,0.2836,31,164,195,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4201,2011-06-28,Fall,2011,6,22,0,2,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.7,0.2985,30,104,134,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4202,2011-06-28,Fall,2011,6,23,0,2,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.7,0.2836,23,58,81,179,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Night
4203,2011-06-29,Fall,2011,6,0,0,3,Working Day,Misty/Cloudy,0.68,0.6364,0.79,0.2836,11,25,36,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Night
4204,2011-06-29,Fall,2011,6,1,0,3,Working Day,Clear/Partly Cloudy,0.68,0.6364,0.79,0.2985,10,18,28,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Night
4205,2011-06-29,Fall,2011,6,2,0,3,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.2239,7,9,16,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Night
4206,2011-06-29,Fall,2011,6,3,0,3,Working Day,Misty/Cloudy,0.66,0.6061,0.83,0.1045,2,3,5,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Night
4207,2011-06-29,Fall,2011,6,4,0,3,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.1045,0,5,5,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Night
4208,2011-06-29,Fall,2011,6,5,0,3,Working Day,Clear/Partly Cloudy,0.64,0.5758,0.83,0.194,3,19,22,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Morning
4209,2011-06-29,Fall,2011,6,6,0,3,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.69,0.2985,12,104,116,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Morning
4210,2011-06-29,Fall,2011,6,7,0,3,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.54,0.2239,18,318,336,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Morning
4211,2011-06-29,Fall,2011,6,8,0,3,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.48,0.2836,41,499,540,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Morning
4212,2011-06-29,Fall,2011,6,9,0,3,Working Day,Clear/Partly Cloudy,0.72,0.6515,0.45,0.3881,32,189,221,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Morning
4213,2011-06-29,Fall,2011,6,10,0,3,Working Day,Clear/Partly Cloudy,0.74,0.6667,0.42,0.2836,31,95,126,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Morning
4214,2011-06-29,Fall,2011,6,11,0,3,Working Day,Clear/Partly Cloudy,0.76,0.6667,0.35,0.2239,53,117,170,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Morning
4215,2011-06-29,Fall,2011,6,12,0,3,Working Day,Clear/Partly Cloudy,0.76,0.6667,0.35,0.2537,55,188,243,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Afternoon
4216,2011-06-29,Fall,2011,6,13,0,3,Working Day,Clear/Partly Cloudy,0.8,0.697,0.31,0.3284,45,186,231,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Afternoon
4217,2011-06-29,Fall,2011,6,14,0,3,Working Day,Clear/Partly Cloudy,0.8,0.697,0.31,0.194,50,138,188,180,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Afternoon
